id,group,Parti,legislature__end_date,Departement,Region,person__fullname,commission,person__gender,person__image,legislature__start_date,Age,person__birthdate,Classedage,Nb de mandats,Ancienneté2017
4777,Parti socialiste,Parti socialiste,11/06/2017,Corrèze,Nouvelle-Aquitaine,Alain Ballay,Affaires sociales,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/81/642699.jpg,01/01/2012,63,19/02/1954,3,1,1
4778,Parti communiste français,Gauche démocrate et républicaine,11/06/2017,Nord,Hauts-de-France,Alain Bocquet,Affaires étrangères,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/82/551.jpg,01/01/2012,71,06/05/1946,4,9,39
4779,Parti socialiste,Parti socialiste,11/06/2017,Cantal,Auvergne-Rhône-Alpes,Alain Calmette,Développement durable et aménagement du territoire,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/83/605643.jpg,01/01/2012,60,30/11/1957,3,1,5
4780,Les Républicains,Les Républicains,11/06/2017,Haute-Saône,Bourgogne-Franche-Comté,Alain Chrétien,Finances,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/84/608662.jpg,01/01/2012,42,17/03/1975,2,1,5
4781,Parti socialiste,Parti socialiste,11/06/2017,Vienne,Nouvelle-Aquitaine,Alain Claeys,Finances,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/85/872.jpg,01/01/2012,69,25/08/1948,3,4,20
4782,Parti socialiste,Parti socialiste,11/06/2017,Ariège,Occitanie,Alain Fauré,Finances,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/86/340432.jpg,01/01/2012,55,01/10/1962,2,1,5
4783,Les Républicains,Les Républicains,11/06/2017,Somme,Hauts-de-France,Alain Gest,Développement durable et aménagement du territoire,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/87/1466.jpg,01/01/2012,66,27/12/1950,3,4,19
4784,Les Républicains,Les Républicains,11/06/2017,Vendée,Pays de la Loire,Alain Leboeuf,Développement durable et aménagement du territoire,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/88/609740.jpg,01/01/2012,53,02/02/1964,2,1,5
4785,Les Républicains,Les Républicains,11/06/2017,Cantal,Auvergne-Rhône-Alpes,Alain Marleix,Défense nationale et forces armées,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/89/2084.jpg,01/01/2012,71,02/01/1946,4,5,24
4786,Les Républicains,Les Républicains,11/06/2017,Français établis hors de France,Français établis hors de France,Alain Marsaud,Affaires étrangères,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/90/2089.jpg,01/01/2012,68,08/03/1949,3,3,14
4787,Les Républicains,Les Républicains,11/06/2017,Moselle,Grand-Est,Alain Marty,Défense nationale et forces armées,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/91/267556.jpg,01/01/2012,71,07/03/1946,4,3,15
4788,Les Républicains,Les Républicains,11/06/2017,Isère,Auvergne-Rhône-Alpes,Alain Moyne-Bressand,Défense nationale et forces armées,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/92/2250.jpg,01/01/2012,72,30/07/1945,4,7,31
4789,Parti socialiste,Parti socialiste,11/06/2017,Haute-Vienne,Nouvelle-Aquitaine,Alain Rodet,Finances,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/93/2600.jpg,01/01/2012,73,04/06/1944,4,8,36
4790,Parti socialiste,Parti socialiste,11/06/2017,Gironde,Nouvelle-Aquitaine,Alain Rousset,Défense nationale et forces armées,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/94/331990.jpg,01/01/2012,66,16/02/1951,3,2,10
4791,Les Républicains,Les Républicains,11/06/2017,Côte-d'Or,Bourgogne-Franche-Comté,Alain Suguenot,Affaires économiques,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/95/2775.jpg,01/01/2012,66,17/09/1951,3,4,19
4792,Parti radical de gauche,Parti radical de gauche,11/06/2017,Calvados,Normandie,Alain Tourret,Lois,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/96/2828.jpg,01/01/2012,69,25/12/1947,3,2,10
4793,Parti socialiste,Parti socialiste,11/06/2017,Hauts-de-Seine,Ile-de-France,Alexis Bachelay,Affaires sociales,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/97/610066.jpg,01/01/2012,44,19/08/1973,2,1,5
4794,Mouvement Indépendantiste Martiniquais,Gauche démocrate et républicaine,11/06/2017,Martinique,France d'outre-mer,Alfred Marie-Jeanne,Affaires culturelles et éducation,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/98/2075.jpg,01/01/2012,81,15/11/1936,4,4,20
4795,Parti communiste français,Gauche démocrate et républicaine,11/06/2017,Puy-de-Dôme,Auvergne-Rhône-Alpes,André Chassaigne,Affaires économiques,1,https://s3-eu-west-1.amazonaws.com/static.jquestapp.com/persons/99/267306.jpg,01/01/2012,67,02/07/1950,3,3,15
